id,category,sub_category,retriever,question,expected_answer,model_answer,retrieved_chunks,retrieval_hits,retrieval_expected,retrieval_coverage,precision_at_k,hallucination_check,correctness_score,notes
C11,correctness,,tfidf,How many victory points is a city worth?,2 victory points,A city is worth 2 victory points. According to [Almanac: CITIES]...,Almanac: CITIES | Almanac: VICTORY POINTS | Almanac: ENDING THE GAME,2,2,1.0,1.0,N/A,,
C12,correctness,,tfidf,How many victory points does the Longest Road special card give?,2 victory points,The Longest Road special card gives 2 victory points. According to [Almanac: LONGEST ROAD]...,Almanac: LONGEST ROAD | Almanac: VICTORY POINTS | Almanac: ROADS,2,2,1.0,1.0,N/A,,
C13,correctness,,tfidf,How many victory points does the Largest Army special card give?,2 victory points,The Largest Army special card gives 2 victory points. According to [Almanac: LARGEST ARMY]...,Almanac: LARGEST ARMY | Almanac: VICTORY POINTS | Almanac: KNIGHT CARDS,2,2,1.0,1.0,N/A,,
C14,correctness,,tfidf,What is the minimum continuous road length needed to claim the Longest Road card?,5 road segments,"According to [Almanac: LONGEST ROAD], the minimum continuous road length needed to claim the Longest Road card is at least 5 individual road pieces.","Almanac: LONGEST ROAD | Game Rules: BUILD (Roads, Settlements, Cities, Development Cards) | Almanac: ROADS",2,2,1.0,1.0,N/A,,
C15,correctness,,tfidf,What happens if the bank doesn't have enough of a resource to pay all players who are owed it?,"No player receives any of that resource that turn (unless the shortage only affects one player, in which case that player gets as many as are left and any extras are lost).","If the bank does not have enough resource cards to supply all players who are owed resources, then no player receives any of that resource that turn. However, if the shortage only affects a single player, that player receives as many of those resources as are left in the supply, and any extras are lost. Production of other types of resources is not affected. According to [Almanac: RESOURCE PRODUCTION]...",Game Rules: TRADE (Domestic and Maritime) | Almanac: RESOURCE PRODUCTION | Almanac: TRADE,1,1,1.0,1.0,N/A,,
C16,correctness,,tfidf,Can players trade with each other when it is not their turn?,No. Players may only trade with the player whose turn it is. Other players may not trade among themselves.,"The rules specify that players may only trade with the player whose turn it is, and the other players may not trade among themselves. Therefore, players cannot trade with each other when it is not their turn. This is stated in both the Game Rules and the Almanac sections on trade. According to [Game Rules: TRADE (Domestic and Maritime)] and [Almanac: RESOURCE TRADE], trading is restricted to the player whose turn it is.",Game Rules: TRADE (Domestic and Maritime) | Almanac: RESOURCE TRADE | Almanac: DOMESTIC TRADE,2,2,1.0,1.0,N/A,,
C17,correctness,,tfidf,What is the standard maritime trade ratio if you have no harbor?,4:1 — you may trade 4 identical resource cards to the bank for 1 resource card of your choice.,The standard maritime trade ratio if you have no harbor is 4:1. According to [Almanac: MARITIME TRADE]...,Almanac: MARITIME TRADE | Game Rules: TRADE (Domestic and Maritime) | Almanac: RESOURCE TRADE,1,1,1.0,1.0,N/A,,
C18,correctness,,tfidf,Where does the robber start at the beginning of the game?,In the desert,"According to [Almanac: ROBBER], the robber starts the game in the desert.",Almanac: ROBBER | Almanac: DESERT | Almanac: TACTICS,2,2,1.0,1.0,N/A,,
C19,correctness,,tfidf,"If you have 9 resource cards and a 7 is rolled, how many cards must you discard?",4 cards (half of 9 rounded down),"If you have 9 resource cards and a 7 is rolled, you must discard 4 cards. According to [Almanac: ROLLING A ""7"" AND ACTIVATING THE ROBBER], if you hold an odd number of cards, you round down when discarding half. Since half of 9 is 4.5, you round down to 4.","Almanac: ROLLING A ""7"" AND ACTIVATING THE ROBBER | Almanac: RESOURCE PRODUCTION | Almanac: RESOURCE CARDS (RESOURCES)",1,1,1.0,1.0,N/A,,
C20,correctness,,tfidf,Can you trade development cards with other players?,No. You cannot trade or give away development cards.,"No, you may not trade development cards. According to [Almanac: TRADE], ""You may not trade development cards.""",Almanac: TRADE | Game Rules: TRADE (Domestic and Maritime) | Game Rules: TURN OVERVIEW,1,2,0.5,1.0,N/A,,
S01,stress,A,tfidf,I roll a 7 and I have 9 resource cards. I also want to play a knight card this turn. What should I do first?,"You must handle the 7 roll first: discard 4 cards (half of 9, rounded down), then move the robber and steal. You may play the knight card at any time during your turn (including before rolling), but since you've already rolled a 7, the roll's mandatory effects must complete before you continue. After resolving the 7, you may play the knight card during your turn's trade or build phases — but note you can only play one development card per turn total, and the knight card would also move the robber again.","According to [Almanac: KNIGHT CARDS], when you play a ""Knight"" development card during your turn, you must immediately move the robber. However, before you can play the knight card, you must first resolve the rolling of a 7, which involves moving the robber and potentially discarding resource cards if you have more than 7. 

Since you have 9 resource cards, you must discard down to 7 before you can play the knight card. Therefore, you should first discard 2 resource cards and then proceed to play the knight card.","Almanac: KNIGHT CARDS | Almanac: DEVELOPMENT CARDS | Game Rules: PLAYING DEVELOPMENT CARDS (Knight, Progress, Victory Point)",2,3,0.667,1.0,N/A,,
S02,stress,A,tfidf,I just built a settlement on a harbor this turn. Can I immediately use that harbor's favorable trade rate?,"In standard play (separate trade and build phases), no — you build during the build phase after trading is done, so you cannot trade again. However, using the Combined Trade/Build Phase variant (recommended for experienced players), you can trade and build in any order during your turn, so yes — the rules explicitly state you can use a harbor on the same turn you build a settlement there.","Yes, you can immediately use that harbor's favorable trade rate. According to [Almanac: COMBINED TRADE/BUILD PHASE], you can trade and build in any order, and you can use a harbor on the same turn you build a settlement there.",Almanac: MARITIME TRADE | Game Rules: TRADE (Domestic and Maritime) | Almanac: COMBINED TRADE/BUILD PHASE,2,3,0.667,1.0,N/A,,
S03,stress,A,tfidf,"My road is 6 segments long and holds the Longest Road card. An opponent builds a settlement in the middle of it, breaking it into two branches of 4 and 2. Do I lose the Longest Road card?","Your road is broken. You now count only your longest continuous branch, which is 4 segments. Since 4 is less than 5, you no longer have a qualifying road at all. If another player already has a longer continuous road, they take the card. If two or more players now tie for the longest road, the card is set aside until one player has a clearly longer road of at least 5 segments.","According to the rules, if your longest road is broken and you are tied for the longest road, you still keep the ""Longest Road"" card. However, since your road is now broken into two branches of 4 and 2, you no longer have a continuous road of at least 5 segments. Therefore, you would lose the ""Longest Road"" card. The rules state that if you no longer have the longest road, but two or more players tie for the new longest road, the ""Longest Road"" card is set aside. Thus, you do lose the Longest Road card in this situation. 

This is supported by the section: ""However, if you no longer have the longest road, but two or more players tie for the new longest road, set the 'Longest Road' card aside.""","Almanac: LONGEST ROAD | Game Rules: BUILD (Roads, Settlements, Cities, Development Cards) | Almanac: ROADS",1,1,1.0,1.0,N/A,,
S04,stress,B,tfidf,What happens if the bank runs out of a resource that multiple players are owed from a dice roll?,"No player receives any of that resource during that turn. The exception applies only when the shortage affects a single player — in that case they get as many as are left and any extras are lost. When multiple players are affected, no one gets any.","According to [Almanac: RESOURCE PRODUCTION], if there are not enough resource cards in the bank to supply all of the yields owed to multiple players from a dice roll, then no player receives any of that resource that turn.",Almanac: RESOURCE PRODUCTION | Almanac: RESOURCE CARDS (RESOURCES) | Almanac: DOMESTIC TRADE,1,1,1.0,1.0,N/A,,
S05,stress,B,tfidf,Can I trade 2 wool to another player in exchange for 1 wool?,No. The rules explicitly prohibit trading like resources. You cannot trade the same type of resource.,"No, you may not trade like resources. According to [Almanac: TRADE], ""You may not trade like resources (e.g., 2 wool for 1 wool).""",Almanac: TRADE | Almanac: MARITIME TRADE | Almanac: RESOURCE TRADE,1,2,0.5,1.0,N/A,,
S06,stress,B,tfidf,"I hold the Longest Road card with a 7-segment road. An opponent breaks my road so that my longest branch is now 5 segments, but another player also has a 5-segment road. Who holds the Longest Road card?","When two or more players tie for the longest road, the Longest Road card is set aside. The card only comes back into play when one player has a clearly longer road than all others (and at least 5 segments).","According to the rules, if your longest road is broken and you are tied for the longest road, you still keep the ""Longest Road"" card. However, since you no longer have the longest road and two or more players tie for the new longest road, the ""Longest Road"" card should be set aside. Therefore, in this situation, the ""Longest Road"" card is set aside, and no player holds it. This is stated in the special case section of the Longest Road rules.","Almanac: LONGEST ROAD | Game Rules: BUILD (Roads, Settlements, Cities, Development Cards) | Almanac: ROADS",1,1,1.0,1.0,N/A,,
S07,stress,B,tfidf,"I move the robber to a hex adjacent to an opponent's settlement, but that opponent has no resource cards. What happens?","You still move the robber to that hex (blocking future production), but when you attempt to steal, you get nothing. The rules state: 'If that player has no cards, you get nothing!'","According to the rules, when you move the robber to a hex adjacent to an opponent's settlement, you steal 1 resource card at random from that opponent. However, if that opponent has no resource cards, you cannot steal anything. Therefore, you simply move the robber, and no resource card is taken from that opponent. This is inferred from the section stating that you steal from a player who has a settlement or city adjacent to the target terrain hex, and if they have no cards, there is nothing to steal.","Game Rules: ROLLING A ""7"" AND ACTIVATING THE ROBBER | Almanac: ROLLING A ""7"" AND ACTIVATING THE ROBBER | Almanac: ROBBER",1,2,0.5,1.0,N/A,,
S08,stress,B,tfidf,Can I play a knight card before I roll the dice on my turn?,"Yes. You may play one development card at any time during your turn, including before rolling the dice.","Yes, you can play a knight card before you roll the dice on your turn. According to [Game Rules: PLAYING DEVELOPMENT CARDS], you may play the card at any time during your turn.","Almanac: DEVELOPMENT CARDS | Game Rules: PLAYING DEVELOPMENT CARDS (Knight, Progress, Victory Point) | Almanac: KNIGHT CARDS",2,2,1.0,1.0,N/A,,
S09,stress,C,tfidf,Can a player make a binding promise to give resources on a future turn as part of a trade?,"The rules don't specify whether future-turn promises are binding or even permitted. The rules only state what can be traded (resource cards, not development cards or promises), that trading must involve the current player, and that you cannot give away cards. There is no ruling on the enforceability of future-turn agreements.",The rules don't specify this.,Game Rules: TRADE (Domestic and Maritime) | Almanac: TRADE | Almanac: RESOURCE TRADE,1,2,0.5,1.0,ABSTAINED,,
S10,stress,C,tfidf,What happens if all development cards are bought and the deck runs out mid-game?,"The rules state: 'Development cards never go back into the supply, and you cannot buy development cards if the supply is empty.' Beyond this, the rules don't elaborate — you simply cannot buy more development cards for the rest of the game.",The rules don't specify this.,"Almanac: DEVELOPMENT CARDS | Almanac: VICTORY POINT CARDS | Game Rules: BUILD (Roads, Settlements, Cities, Development Cards)",2,2,1.0,1.0,ABSTAINED,,
S11,stress,C,tfidf,Can I look at which development cards other players have already played?,"Partially addressed: Knight cards remain face up in front of players and are visible to all. Progress cards are removed from the game after use. Victory point cards stay hidden until the game ends. The rules don't explicitly state whether players can inspect a discard pile or track played progress cards, but played knight cards are always visible.",The rules don't specify this.,"Almanac: DEVELOPMENT CARDS | Game Rules: TURN OVERVIEW | Game Rules: BUILD (Roads, Settlements, Cities, Development Cards)",1,3,0.333,1.0,ABSTAINED,,
S12,stress,C,tfidf,Is there a maximum number of resource cards a player can hold in their hand at any time?,"The rules don't specify an absolute hand size limit. The only card-count rule is the 7-card threshold: if you hold more than 7 resource cards when a 7 is rolled, you must discard half. There is no stated cap on how many cards you can hold otherwise.",The rules don't specify this.,"Almanac: ROLLING A ""7"" AND ACTIVATING THE ROBBER | Almanac: RESOURCE PRODUCTION | Almanac: KNIGHT CARDS",1,2,0.5,1.0,ABSTAINED,,
