id,category,sub_category,question,expected_answer,model_answer,retrieved_chunks,retrieval_hits,retrieval_expected,retrieval_coverage,precision_at_k,hallucination_check,correctness_score,notes
M11,correctness,,How much do you get when you sell a house back to the Bank?,Half the price paid for it.,"According to [Monopoly: BANKRUPTCY], when you sell a house back to the Bank, you receive cash equal to one-half the amount paid for it.",Monopoly: THE BANK | Monopoly: BUYING PROPERTY | Monopoly: BANKRUPTCY,0,1,0.0,0.0,N/A,1,Correct answer despite retrieval miss
M12,correctness,,Can players lend money to each other in Monopoly?,"No. Money can be loaned to a player only by the Bank, and then only by mortgaging property. No player may borrow from or lend money to another player.",The rules don't specify this.,Monopoly: MISCELLANEOUS | Monopoly: OVERVIEW | Monopoly: THE BANKER,1,1,1.0,1.0,N/A,0,Generation failure — MISCELLANEOUS chunk retrieved with direct answer
M13,correctness,,What interest rate must you pay to lift a mortgage?,"10% of the mortgage value, in addition to the mortgage amount itself.","To lift a mortgage, the owner must pay the Bank the amount of the mortgage plus 10% interest. According to [Monopoly: MORTGAGES]...",Monopoly: MORTGAGES | Monopoly: BANKRUPTCY | Monopoly: INCOME TAX,1,1,1.0,1.0,N/A,1,
M14,correctness,,What must you do before selling a property in a color-group that has buildings on it?,All buildings on all properties of that color-group must be sold back to the Bank before any property in the group can be sold.,"Before selling a property in a color-group that has buildings on it, you must sell all the buildings back to the Bank. According to [Monopoly: SELLING PROPERTY]... ""no property can be sold to another player if buildings are standing on any properties of that color-group. Any buildings so located must be sold back to the Bank before the owner can sell any property of that color-group.""",Monopoly: SELLING PROPERTY | Monopoly: MORTGAGES | Monopoly: HOUSES,1,1,1.0,1.0,N/A,1,
M15,correctness,,When can you charge double rent for unimproved properties?,"When you own all the Title Deed cards in a color-group (a complete color-group), you may charge double rent for unimproved properties in that group.",You can charge double rent for unimproved properties when you hold all the Title Deed cards in a color-group. This rule applies to unmortgaged properties even if another property in that color-group is mortgaged. According to [Monopoly: PAYING RENT]...,Monopoly: PAYING RENT | Monopoly: HOUSES | Monopoly: MORTGAGES,1,1,1.0,1.0,N/A,1,
M16,correctness,,What happens to a bankrupt player?,"A bankrupt player must immediately retire from the game. If in debt to another player, they must turn over all assets to that player. The last player left in the game wins.","According to [Monopoly: BANKRUPTCY], a bankrupt player must turn over all that they have of value to their creditor or the Bank, depending on who they owe. If they owe another player, they must retire from the game. If they owe the Bank, they must also retire from the game, and the Bank will auction off all property taken from them, except for buildings. The last player left in the game wins.",Monopoly: BANKRUPTCY | Monopoly: MISCELLANEOUS | Monopoly: THE BANK,1,1,1.0,1.0,N/A,1,
M17,correctness,,What is the even-building rule for houses?,"You cannot erect more than one house on any one property until you have built one house on every property of that color-group. You then begin on the second row, and so on, up to a limit of four houses per property.","The even-building rule for houses states that you cannot erect more than one house on any one property of a color-group until you have built one house on every property of that group. After that, you may begin on the second row of houses, and so on, up to a limit of four houses to a property. For example, you cannot build three houses on one property if you have only one house on another property of that group. This is outlined in the [Monopoly: HOUSES] section.",Monopoly: HOUSES | Monopoly: SELLING PROPERTY | Monopoly: HOTELS,1,1,1.0,1.0,N/A,1,
M18,correctness,,What happens when the Bank runs out of houses?,"Players wishing to build must wait until another player returns or sells houses to the Bank. If multiple players want more than the Bank has, the houses must be sold at auction to the highest bidder.","When the Bank has no houses to sell, players wishing to build must wait for some player to return or sell his/her houses to the Bank before building. If there are a limited number of houses and hotels available and two or more players wish to buy more than the Bank has, the houses or hotels must be sold at auction to the highest bidder. According to [Monopoly: BUILDING SHORTAGES]...",Monopoly: THE BANK | Monopoly: BUILDING SHORTAGES | Monopoly: BANKRUPTCY,1,1,1.0,1.0,N/A,1,
M19,correctness,,Can the Bank ever go bankrupt?,"No. The Bank never goes broke. If it runs out of money, the Banker may issue as much more as needed by writing on any ordinary paper.","The rules state that ""The Bank never 'goes broke.'"" If the Bank runs out of money, the Banker may issue as much more as needed by writing on any ordinary paper. Therefore, the Bank cannot go bankrupt. According to [Monopoly: THE BANK]...",Monopoly: THE BANK | Monopoly: BANKRUPTCY | Monopoly: MISCELLANEOUS,1,1,1.0,1.0,N/A,1,
M20,correctness,,"If you pass GO on a dice throw and then draw an Advance to GO card, do you collect $200 twice?",Yes. The rules explicitly state you collect $200 for passing GO the first time and another $200 for reaching it the second time by instructions on the card.,"Yes, you collect $200 twice. According to the rules, if a player passing GO on the throw of the dice lands 2 spaces beyond it on Community Chest, or 7 spaces beyond it on Chance, and draws the ""Advance to GO"" card, he/she collects $200 for passing GO the first time and another $200 for reaching it the second time by instructions on the card. This is stated in the [Monopoly: GO] section.",Monopoly: GO | Monopoly: THE PLAY | Monopoly: JAIL,1,1,1.0,1.0,N/A,1,
MS01,stress,A,"I am in jail on my turn. Can I pay the $50 fine, roll, and then buy a property I land on?","Yes. You pay the $50 fine before rolling, then roll and move normally. If you land on an unowned property, you may buy it at the printed price or it goes to auction. Being in jail does not restrict property purchases.","According to the rules, if you are in Jail and you pay the $50 fine, you get out of Jail and immediately move forward the number of spaces shown by your throw. However, you do not take another turn after rolling doubles. Since you are only allowed to buy and sell property while in Jail, you cannot buy a property after rolling unless you are not in Jail anymore. Therefore, you can only buy a property if you land on it after paying the fine and moving out of Jail. 

Thus, you can pay the $50 fine, roll, and if you land on a property, you can buy it. 

This is supported by the section on getting out of Jail: ""If you do not throw doubles by your third turn, you must pay the $50 fine. You then get out of Jail and immediately move forward the number of spaces shown by your throw.""",Monopoly: JAIL | Monopoly: INCOME TAX | Monopoly: THE PLAY,1,2,0.5,1.0,N/A,1,
MS02,stress,A,Another player lands on my property but I forget to ask for rent before the second player after them throws the dice. Do I still get paid?,No. The owner may not collect the rent if they fail to ask for it before the second player following throws the dice.,"No, you do not get paid. According to [Monopoly: PAYING RENT], ""The owner may not collect the rent if he/she fails to ask for it before the second player following throws the dice.""",Monopoly: PAYING RENT | Monopoly: MISCELLANEOUS | Monopoly: MORTGAGES,1,1,1.0,1.0,N/A,1,
MS03,stress,A,"I roll doubles, move and resolve the space, then roll doubles again and resolve, then roll doubles a third time. Where do I go and do I move?",On the third doubles roll you move your token immediately to the space marked In Jail. You do not move the number shown on the dice — you go directly to Jail and your turn ends.,"According to the rules, if you roll doubles three times in succession, you must move your token immediately to the space marked ""In Jail"" (see JAIL). Your turn ends when you are sent to Jail, so you do not move again after being sent there. Therefore, you go to Jail and do not move further. This is specified in the [Monopoly: THE PLAY] and [Monopoly: JAIL] sections.",Monopoly: THE PLAY | Monopoly: JAIL | Monopoly: SPEED DIE RULES,2,2,1.0,1.0,N/A,1,
MS04,stress,B,Another player has a Get Out of Jail Free card and wants to sell it to me. Is there a fixed price?,No fixed price. The rules state it may be sold to another player at any price agreeable to both players.,"According to the provided context, ""If the player who draws it does not wish to use it, he/she may sell it, at any time, to another player at a price agreeable to both."" This indicates that there is no fixed price for the ""Get Out of Jail Free"" card; the price is determined by the agreement between the players.",Monopoly: CHANCE AND COMMUNITY CHEST | Monopoly: JAIL | Monopoly: PREPARATION,2,2,1.0,1.0,N/A,1,
MS05,stress,B,I buy a mortgaged property from another player. Do I have to lift the mortgage immediately?,"No. You may lift it immediately by paying the mortgage value plus 10% interest, or hold it. However, if you hold it and lift the mortgage later, you must pay 10% interest again in addition to the mortgage amount.","According to [Monopoly: MORTGAGES], if you buy a mortgaged property from another player, you may lift the mortgage at once if you wish by paying off the mortgage plus 10% interest to the Bank. However, if you do not lift the mortgage immediately, you must pay the Bank 10% interest when you buy the property, and if you lift the mortgage later, you must pay the Bank an additional 10% interest as well as the amount of the mortgage.",Monopoly: MORTGAGES | Monopoly: BANKRUPTCY | Monopoly: BUYING PROPERTY,1,1,1.0,1.0,N/A,1,
MS06,stress,B,Can I buy a hotel directly without first building four houses on the property?,No. You must have four houses on each property of a complete color-group before you can buy a hotel. You return the four houses to the Bank and pay the hotel price shown on the Title Deed card.,"The rules specify that a player must have four houses on each property of a complete color-group before they can buy a hotel. Therefore, you cannot buy a hotel directly without first building four houses on the property. According to [Monopoly: HOTELS]...",Monopoly: HOTELS | Monopoly: BUILDING SHORTAGES | Monopoly: SELLING PROPERTY,1,2,0.5,1.0,N/A,1,
MS07,stress,B,I own a complete color-group but one of the properties in it is mortgaged. Can I still charge double rent on the unmortgaged properties?,Yes. The rules state that the double-rent rule applies to unmortgaged properties even if another property in that color-group is mortgaged. No rent can be collected on the mortgaged property itself.,"Yes, you can still charge double rent on the unmortgaged properties in the color-group, even if one of the properties is mortgaged. According to [Monopoly: PAYING RENT], ""This rule applies to unmortgaged properties even if another property in that color-group is mortgaged.""",Monopoly: MORTGAGES | Monopoly: PAYING RENT | Monopoly: HOUSES,2,2,1.0,1.0,N/A,1,
MS08,stress,C,What is the exact rent amount for landing on a railroad?,"The rules don't specify exact rent amounts for railroads in this text — those amounts are printed on the individual Title Deed cards, which are not reproduced in the rulebook.",The rules don't specify this.,Monopoly: INCOME TAX | Monopoly: FREE PARKING | Monopoly: GO,0,1,0.0,0.0,ABSTAINED,1,
MS09,stress,C,What happens if two players tie on the initial dice roll to determine who goes first?,The rules don't specify what happens in the event of a tie — they only state that the player with the highest total starts the play.,The rules don't specify this.,Monopoly: THE PLAY | Monopoly: GO | Monopoly: MISCELLANEOUS,1,1,1.0,1.0,ABSTAINED,1,
MS10,stress,C,Is there a time limit on how long a player's turn can last?,The rules don't specify any time limit per turn.,The rules don't specify this.,Monopoly: THE PLAY | Monopoly: MISCELLANEOUS | Monopoly: GO,1,1,1.0,1.0,ABSTAINED,1,
MS11,stress,C,"Can I give money to another player as a gift, not as part of any property transaction?","The rules don't explicitly address gifting money. They state no player may borrow from or lend money to another player, but it is unclear whether an outright gift (not a loan) is also prohibited.",The rules don't specify this.,Monopoly: MISCELLANEOUS | Monopoly: BANKRUPTCY | Monopoly: BUYING PROPERTY,1,1,1.0,1.0,ABSTAINED,1,
MS12,stress,C,What happens if a player refuses to pay rent they owe?,The rules don't specify any enforcement mechanism for rent disputes. They only state that the owner forfeits the right to collect rent if they fail to ask before the second player following throws the dice.,The rules don't specify this.,Monopoly: MISCELLANEOUS | Monopoly: PAYING RENT | Monopoly: BANKRUPTCY,1,1,1.0,1.0,ABSTAINED,1,
