id,category,sub_category,question,expected_answer,model_answer,retrieved_chunks,retrieval_hits,retrieval_expected,retrieval_coverage,precision_at_k,hallucination_check,correctness_score,notes
C11,correctness,,How many victory points is a city worth?,2 victory points,A city is worth 2 victory points. According to [Almanac: CITIES]...,Almanac: CITIES | Almanac: VICTORY POINTS | Almanac: ENDING THE GAME,2,2,1.0,1.0,N/A,1,
C12,correctness,,How many victory points does the Longest Road special card give?,2 victory points,The Longest Road special card gives 2 victory points. According to [Almanac: LONGEST ROAD]...,Almanac: LONGEST ROAD | Almanac: VICTORY POINTS | Almanac: LARGEST ARMY,2,2,1.0,1.0,N/A,1,
C13,correctness,,How many victory points does the Largest Army special card give?,2 victory points,The Largest Army special card gives 2 victory points. According to [Almanac: LARGEST ARMY]...,Almanac: LARGEST ARMY | Almanac: VICTORY POINTS | Game Rules: GAME COMPONENTS,2,2,1.0,1.0,N/A,1,
C14,correctness,,What is the minimum continuous road length needed to claim the Longest Road card?,5 road segments,"According to [Almanac: LONGEST ROAD], the minimum continuous road length needed to claim the Longest Road card is at least 5 individual road pieces.","Almanac: LONGEST ROAD | Game Rules: BUILD (Roads, Settlements, Cities, Development Cards) | Almanac: DISTANCE RULE",2,2,1.0,1.0,N/A,1,
C15,correctness,,What happens if the bank doesn't have enough of a resource to pay all players who are owed it?,"No player receives any of that resource that turn (unless the shortage only affects one player, in which case that player gets as many as are left and any extras are lost).","If the bank doesn't have enough resource cards to supply all players who are owed it, then no player receives any of that resource that turn. However, if the shortage only affects a single player, that player receives as many of those resources as are left in the supply, and any extras are lost. Production of other types of resources is not affected. According to [Almanac: RESOURCE PRODUCTION]...","Almanac: RESOURCE PRODUCTION | Almanac: RESOURCE TRADE | Almanac: ROLLING A ""7"" AND ACTIVATING THE ROBBER",1,1,1.0,1.0,N/A,1,
C16,correctness,,Can players trade with each other when it is not their turn?,No. Players may only trade with the player whose turn it is. Other players may not trade among themselves.,"The rules specify that players may not trade among themselves when it is not their turn. According to [Almanac: RESOURCE TRADE], ""The other players may not trade among themselves, only with the player whose turn it is.""",Almanac: RESOURCE TRADE | Almanac: DOMESTIC TRADE | Almanac: TRADE,2,2,1.0,1.0,N/A,1,Fixed by updated system prompt
C17,correctness,,What is the standard maritime trade ratio if you have no harbor?,4:1 — you may trade 4 identical resource cards to the bank for 1 resource card of your choice.,"The standard maritime trade ratio if you have no harbor is 4:1. According to [Almanac: MARITIME TRADE], ""The most basic (and unfavorable) exchange rate is 4:1. You may trade 4 identical resource cards to the supply in exchange for 1 resource card of your choice. You do not need a harbor (settlement at a harbor location) to trade at 4:1.""",Almanac: MARITIME TRADE | Game Rules: TRADE (Domestic and Maritime) | Almanac: HARBORS,1,1,1.0,1.0,N/A,1,
C18,correctness,,Where does the robber start at the beginning of the game?,In the desert,"According to [Almanac: ROBBER], the robber begins the game in the desert.","Almanac: ROBBER | Game Rules: PLAYING DEVELOPMENT CARDS (Knight, Progress, Victory Point) | Almanac: KNIGHT CARDS",1,2,0.5,1.0,N/A,1,
C19,correctness,,"If you have 9 resource cards and a 7 is rolled, how many cards must you discard?",4 cards (half of 9 rounded down),"If you have 9 resource cards and a 7 is rolled, you must discard 4 cards. According to [Almanac: ROLLING A ""7"" AND ACTIVATING THE ROBBER], if you hold an odd number of cards, you round down when discarding half. Since half of 9 is 4.5, you round down to 4.","Almanac: ROLLING A ""7"" AND ACTIVATING THE ROBBER | Almanac: RESOURCE CARDS (RESOURCES) | Game Rules: ROLLING A ""7"" AND ACTIVATING THE ROBBER",1,1,1.0,1.0,N/A,1,
C20,correctness,,Can you trade development cards with other players?,No. You cannot trade or give away development cards.,"No, you cannot trade development cards with other players. According to [Almanac: DEVELOPMENT CARDS], ""You cannot trade or give away development cards.""",Almanac: DEVELOPMENT CARDS | Almanac: TRADE | Almanac: DOMESTIC TRADE,2,2,1.0,1.0,N/A,1,
S01,stress,A,I roll a 7 and I have 9 resource cards. I also want to play a knight card this turn. What should I do first?,"You must handle the 7 roll first: discard 4 cards (half of 9, rounded down), then move the robber and steal. You may play the knight card at any time during your turn (including before rolling), but since you've already rolled a 7, the roll's mandatory effects must complete before you continue. After resolving the 7, you may play the knight card during your turn's trade or build phases — but note you can only play one development card per turn total, and the knight card would also move the robber again.","According to [Game Rules: TURN OVERVIEW], you must first roll for resource production, which includes rolling a 7. When you roll a 7, you must follow the rules for the robber, which includes moving the robber and potentially stealing a resource card from another player. After resolving the robber, you can then play your knight card. Therefore, you should first move the robber and then play the knight card.","Game Rules: PLAYING DEVELOPMENT CARDS (Knight, Progress, Victory Point) | Almanac: KNIGHT CARDS | Game Rules: TURN OVERVIEW",2,3,0.667,1.0,N/A,0.5,Partial — misses that knight should be played BEFORE rolling
S02,stress,A,I just built a settlement on a harbor this turn. Can I immediately use that harbor's favorable trade rate?,"In standard play (separate trade and build phases), no — you build during the build phase after trading is done, so you cannot trade again. However, using the Combined Trade/Build Phase variant (recommended for experienced players), you can trade and build in any order during your turn, so yes — the rules explicitly state you can use a harbor on the same turn you build a settlement there.","Yes, you can immediately use that harbor's favorable trade rate. According to [Almanac: HARBORS], you must build a settlement on a coastal intersection which borders the harbor to control it, and once you have done so, you can trade more favorably during your trade phase.",Almanac: MARITIME TRADE | Almanac: HARBORS | Game Rules: TRADE (Domestic and Maritime),2,3,0.667,1.0,N/A,0.5,"Partial — only covers Combined phase, misses standard phase nuance"
S03,stress,A,"My road is 6 segments long and holds the Longest Road card. An opponent builds a settlement in the middle of it, breaking it into two branches of 4 and 2. Do I lose the Longest Road card?","Your road is broken. You now count only your longest continuous branch, which is 4 segments. Since 4 is less than 5, you no longer have a qualifying road at all. If another player already has a longer continuous road, they take the card. If two or more players now tie for the longest road, the card is set aside until one player has a clearly longer road of at least 5 segments.","According to the rules, if your longest road is broken and you are tied for the longest road, you still keep the ""Longest Road"" card. However, since your road is now broken into two branches of 4 and 2, you no longer have a continuous road of at least 5 segments. In this case, if two or more players tie for the new longest road, you must set the ""Longest Road"" card aside. Therefore, you do lose the Longest Road card. 

This is supported by the following excerpt: ""if you no longer have the longest road, but two or more players tie for the new longest road, set the 'Longest Road' card aside."" [Almanac: LONGEST ROAD]","Almanac: LONGEST ROAD | Game Rules: BUILD (Roads, Settlements, Cities, Development Cards) | Almanac: ROADS",1,1,1.0,1.0,N/A,1,
S04,stress,B,What happens if the bank runs out of a resource that multiple players are owed from a dice roll?,"No player receives any of that resource during that turn. The exception applies only when the shortage affects a single player — in that case they get as many as are left and any extras are lost. When multiple players are affected, no one gets any.","If the bank runs out of a resource that multiple players are owed from a dice roll, then no player receives any of that resource during that turn. This is stated in the context: ""If there are not enough resource cards to give every player all the production they earn, then no player receives any of that resource that turn."" [Almanac: RESOURCE PRODUCTION].","Almanac: RESOURCE PRODUCTION | Game Rules: RESOURCE PRODUCTION | Almanac: ROLLING A ""7"" AND ACTIVATING THE ROBBER",1,1,1.0,1.0,N/A,1,
S05,stress,B,Can I trade 2 wool to another player in exchange for 1 wool?,No. The rules explicitly prohibit trading like resources. You cannot trade the same type of resource.,"No, you may not trade like resources, such as 2 wool for 1 wool. According to [Almanac: TRADE]... you may not trade like resources (e.g., 2 wool for 1 wool).",Almanac: TRADE | Almanac: DOMESTIC TRADE | Almanac: RESOURCE TRADE,2,2,1.0,1.0,N/A,1,
S06,stress,B,"I hold the Longest Road card with a 7-segment road. An opponent breaks my road so that my longest branch is now 5 segments, but another player also has a 5-segment road. Who holds the Longest Road card?","When two or more players tie for the longest road, the Longest Road card is set aside. The card only comes back into play when one player has a clearly longer road than all others (and at least 5 segments).","According to the rules, if your longest road is broken and you are tied for the longest road, you still keep the ""Longest Road"" card. However, since you no longer have the longest road and two or more players tie for the new longest road, the ""Longest Road"" card is set aside. Therefore, in this situation, no one holds the Longest Road card. This is stated in the special case section of the Longest Road rules.","Almanac: LONGEST ROAD | Game Rules: BUILD (Roads, Settlements, Cities, Development Cards) | Almanac: VICTORY POINTS",1,1,1.0,1.0,N/A,1,
S07,stress,B,"I move the robber to a hex adjacent to an opponent's settlement, but that opponent has no resource cards. What happens?","You still move the robber to that hex (blocking future production), but when you attempt to steal, you get nothing. The rules state: 'If that player has no cards, you get nothing!'","According to [Almanac: ROLLING A ""7"" AND ACTIVATING THE ROBBER], when you move the robber to a hex adjacent to an opponent's settlement, you steal 1 resource card at random from that opponent. However, if that opponent has no resource cards, you cannot steal anything. Therefore, nothing happens in terms of stealing a resource card from that opponent.","Almanac: ROBBER | Almanac: ROLLING A ""7"" AND ACTIVATING THE ROBBER | Game Rules: ROLLING A ""7"" AND ACTIVATING THE ROBBER",1,2,0.5,1.0,N/A,1,
S08,stress,B,Can I play a knight card before I roll the dice on my turn?,"Yes. You may play one development card at any time during your turn, including before rolling the dice.","Yes, you can play a knight card before you roll the dice on your turn. According to [Almanac: DEVELOPMENT CARDS], ""You can play the card at any time, even before you roll the dice.""","Almanac: KNIGHT CARDS | Almanac: DEVELOPMENT CARDS | Game Rules: PLAYING DEVELOPMENT CARDS (Knight, Progress, Victory Point)",2,2,1.0,1.0,N/A,1,
S09,stress,C,Can a player make a binding promise to give resources on a future turn as part of a trade?,"The rules don't specify whether future-turn promises are binding or even permitted. The rules only state what can be traded (resource cards, not development cards or promises), that trading must involve the current player, and that you cannot give away cards. There is no ruling on the enforceability of future-turn agreements.",The rules don't specify this.,Almanac: RESOURCE TRADE | Almanac: DOMESTIC TRADE | Almanac: TRADE,2,2,1.0,1.0,ABSTAINED,1,
S10,stress,C,What happens if all development cards are bought and the deck runs out mid-game?,"The rules state: 'Development cards never go back into the supply, and you cannot buy development cards if the supply is empty.' Beyond this, the rules don't elaborate — you simply cannot buy more development cards for the rest of the game.",The rules don't specify this.,Almanac: DEVELOPMENT CARDS | Almanac: PROGRESS CARDS | Almanac: BUILD (BUILDING),2,2,1.0,1.0,ABSTAINED,0.5,Abstained despite partial answer in context
S11,stress,C,Can I look at which development cards other players have already played?,"Partially addressed: Knight cards remain face up in front of players and are visible to all. Progress cards are removed from the game after use. Victory point cards stay hidden until the game ends. The rules don't explicitly state whether players can inspect a discard pile or track played progress cards, but played knight cards are always visible.",The rules don't specify this.,Almanac: DEVELOPMENT CARDS | Almanac: PROGRESS CARDS | Game Rules: TURN OVERVIEW,2,3,0.667,1.0,ABSTAINED,0.5,Abstained despite partial answer in context
S12,stress,C,Is there a maximum number of resource cards a player can hold in their hand at any time?,"The rules don't specify an absolute hand size limit. The only card-count rule is the 7-card threshold: if you hold more than 7 resource cards when a 7 is rolled, you must discard half. There is no stated cap on how many cards you can hold otherwise.",The rules don't specify this.,Almanac: DOMESTIC TRADE | Almanac: RESOURCE CARDS (RESOURCES) | Almanac: RESOURCE PRODUCTION,1,2,0.5,1.0,ABSTAINED,1,
