id,category,sub_category,retriever,question,expected_answer,model_answer,retrieved_chunks,retrieval_hits,retrieval_expected,retrieval_coverage,precision_at_k,hallucination_check,correctness_score,notes
M12,correctness,,random,Can players lend money to each other in Monopoly?,"No. Money can be loaned to a player only by the Bank, and then only by mortgaging property. No player may borrow from or lend money to another player.",The rules don't specify this.,Monopoly: JAIL | Monopoly: HOTELS | Monopoly: MISCELLANEOUS,1,1,1.0,1.0,N/A,,
M13,correctness,,random,What interest rate must you pay to lift a mortgage?,"10% of the mortgage value, in addition to the mortgage amount itself.",The rules don't specify this.,Monopoly: CHANCE AND COMMUNITY CHEST | Monopoly: BUILDING SHORTAGES | Monopoly: MISCELLANEOUS,0,1,0.0,0.0,N/A,,
M14,correctness,,random,What must you do before selling a property in a color-group that has buildings on it?,All buildings on all properties of that color-group must be sold back to the Bank before any property in the group can be sold.,The rules don't specify this.,Monopoly: GO | Monopoly: BANKRUPTCY | Monopoly: OBJECT,0,1,0.0,0.0,N/A,,
M15,correctness,,random,When can you charge double rent for unimproved properties?,"When you own all the Title Deed cards in a color-group (a complete color-group), you may charge double rent for unimproved properties in that group.",The rules don't specify this.,Monopoly: THE BANK | Monopoly: CHANCE AND COMMUNITY CHEST | Monopoly: SPEED DIE RULES,0,1,0.0,0.0,N/A,,
M16,correctness,,random,What happens to a bankrupt player?,"A bankrupt player must immediately retire from the game. If in debt to another player, they must turn over all assets to that player. The last player left in the game wins.",The rules don't specify this.,Monopoly: SPEED DIE RULES | Monopoly: BUYING PROPERTY | Monopoly: HOUSES,0,1,0.0,0.0,N/A,,
M17,correctness,,random,What is the even-building rule for houses?,"You cannot erect more than one house on any one property until you have built one house on every property of that color-group. You then begin on the second row, and so on, up to a limit of four houses per property.",The rules don't specify this.,Monopoly: THE BANK | Monopoly: BANKRUPTCY | Monopoly: OBJECT,0,1,0.0,0.0,N/A,,
M18,correctness,,random,What happens when the Bank runs out of houses?,"Players wishing to build must wait until another player returns or sells houses to the Bank. If multiple players want more than the Bank has, the houses must be sold at auction to the highest bidder.",The rules don't specify this.,Monopoly: CHANCE AND COMMUNITY CHEST | Monopoly: THE PLAY | Monopoly: HOTELS,0,1,0.0,0.0,N/A,,
M19,correctness,,random,Can the Bank ever go bankrupt?,"No. The Bank never goes broke. If it runs out of money, the Banker may issue as much more as needed by writing on any ordinary paper.",The rules don't specify this.,Monopoly: GO | Monopoly: HOTELS | Monopoly: BUYING PROPERTY,0,1,0.0,0.0,N/A,,
M20,correctness,,random,"If you pass GO on a dice throw and then draw an Advance to GO card, do you collect $200 twice?",Yes. The rules explicitly state you collect $200 for passing GO the first time and another $200 for reaching it the second time by instructions on the card.,The rules don't specify this.,Monopoly: SPEED DIE RULES | Monopoly: INCOME TAX | Monopoly: OVERVIEW,0,1,0.0,0.0,N/A,,
MS01,stress,A,random,"I am in jail on my turn. Can I pay the $50 fine, roll, and then buy a property I land on?","Yes. You pay the $50 fine before rolling, then roll and move normally. If you land on an unowned property, you may buy it at the printed price or it goes to auction. Being in jail does not restrict property purchases.",The rules don't specify this.,Monopoly: BANKRUPTCY | Monopoly: SPEED DIE RULES | Monopoly: PREPARATION,0,2,0.0,0.0,N/A,,
MS02,stress,A,random,Another player lands on my property but I forget to ask for rent before the second player after them throws the dice. Do I still get paid?,No. The owner may not collect the rent if they fail to ask for it before the second player following throws the dice.,"According to [Monopoly: PAYING RENT], if the owner fails to ask for rent before the second player following throws the dice, the owner may not collect the rent. Therefore, you would not get paid.",Monopoly: CHANCE AND COMMUNITY CHEST | Monopoly: MISCELLANEOUS | Monopoly: PAYING RENT,1,1,1.0,1.0,N/A,,
MS03,stress,A,random,"I roll doubles, move and resolve the space, then roll doubles again and resolve, then roll doubles a third time. Where do I go and do I move?",On the third doubles roll you move your token immediately to the space marked In Jail. You do not move the number shown on the dice — you go directly to Jail and your turn ends.,The rules don't specify this.,Monopoly: BUILDING SHORTAGES | Monopoly: BANKRUPTCY | Monopoly: CHANCE AND COMMUNITY CHEST,0,2,0.0,0.0,N/A,,
MS04,stress,B,random,Another player has a Get Out of Jail Free card and wants to sell it to me. Is there a fixed price?,No fixed price. The rules state it may be sold to another player at any price agreeable to both players.,The rules don't specify this.,Monopoly: BANKRUPTCY | Monopoly: MISCELLANEOUS | Monopoly: OBJECT,0,2,0.0,0.0,N/A,,
MS05,stress,B,random,I buy a mortgaged property from another player. Do I have to lift the mortgage immediately?,"No. You may lift it immediately by paying the mortgage value plus 10% interest, or hold it. However, if you hold it and lift the mortgage later, you must pay 10% interest again in addition to the mortgage amount.",The rules don't specify this.,Monopoly: BUYING PROPERTY | Monopoly: THE BANKER | Monopoly: PAYING RENT,0,1,0.0,0.0,N/A,,
MS06,stress,B,random,Can I buy a hotel directly without first building four houses on the property?,No. You must have four houses on each property of a complete color-group before you can buy a hotel. You return the four houses to the Bank and pay the hotel price shown on the Title Deed card.,The rules don't specify this.,Monopoly: CHANCE AND COMMUNITY CHEST | Monopoly: JAIL | Monopoly: SPEED DIE RULES,0,2,0.0,0.0,N/A,,
MS07,stress,B,random,I own a complete color-group but one of the properties in it is mortgaged. Can I still charge double rent on the unmortgaged properties?,Yes. The rules state that the double-rent rule applies to unmortgaged properties even if another property in that color-group is mortgaged. No rent can be collected on the mortgaged property itself.,The rules don't specify this.,Monopoly: THE PLAY | Monopoly: PREPARATION | Monopoly: FREE PARKING,0,2,0.0,0.0,N/A,,
MS08,stress,C,random,What is the exact rent amount for landing on a railroad?,"The rules don't specify exact rent amounts for railroads in this text — those amounts are printed on the individual Title Deed cards, which are not reproduced in the rulebook.",The rules don't specify this.,Monopoly: OBJECT | Monopoly: HOTELS | Monopoly: INCOME TAX,0,1,0.0,0.0,ABSTAINED,,
MS09,stress,C,random,What happens if two players tie on the initial dice roll to determine who goes first?,The rules don't specify what happens in the event of a tie — they only state that the player with the highest total starts the play.,The rules don't specify this.,Monopoly: THE BANK | Monopoly: MISCELLANEOUS | Monopoly: PREPARATION,0,1,0.0,0.0,ABSTAINED,,
MS10,stress,C,random,Is there a time limit on how long a player's turn can last?,The rules don't specify any time limit per turn.,The rules don't specify this.,Monopoly: OBJECT | Monopoly: OVERVIEW | Monopoly: MISCELLANEOUS,0,1,0.0,0.0,ABSTAINED,,
MS11,stress,C,random,"Can I give money to another player as a gift, not as part of any property transaction?","The rules don't explicitly address gifting money. They state no player may borrow from or lend money to another player, but it is unclear whether an outright gift (not a loan) is also prohibited.",The rules don't specify this.,Monopoly: INCOME TAX | Monopoly: BANKRUPTCY | Monopoly: JAIL,0,1,0.0,0.0,ABSTAINED,,
MS12,stress,C,random,What happens if a player refuses to pay rent they owe?,The rules don't specify any enforcement mechanism for rent disputes. They only state that the owner forfeits the right to collect rent if they fail to ask before the second player following throws the dice.,The rules don't specify this.,Monopoly: THE PLAY | Monopoly: HOTELS | Monopoly: OBJECT,0,1,0.0,0.0,ABSTAINED,,
